Names,Reviews,Release Date,Genre
Tracks - The Family Friendly Open World Train Set Game,92%,"Nov 14, 2019",Simulation
Killer Queen Black,92%,"Oct 11, 2019",Action
Wrongworld,94%,"May 11, 2018",Open World Survival Craft
My Time At Portia,91%,"Jan 15, 2019",Life Sim
Espire 1: VR Operative,49%,"Nov 22, 2019",Action
Boyfriend Dungeon,,when weapons are beautiful enough,Dating Sim
Stick Fight: The Game,91%,"Sep 28, 2017",Multiplayer
Descenders,92%,"May 7, 2019",Sports
GRIS,96%,"Dec 13, 2018",Beautiful
Bridge Constructor Portal,90%,"Dec 20, 2017",Strategy
Another Lost Phone: Laura's Story,93%,"Sep 21, 2017",Casual
Trine 4: The Nightmare Prince,93%,"Oct 8, 2019",Adventure
Evil Genius 2: World Domination,,2020,Strategy
Kingdom Two Crowns,83%,"Dec 11, 2018",Strategy
Donut County,84%,"Aug 28, 2018",Indie
Planet Zoo,87%,"Nov 5, 2019",Simulation
Thief Simulator,81%,"Nov 9, 2018",Simulation
Darksiders Genesis,87%,"Dec 5, 2019",Action
SIMULACRA,95%,"Oct 26, 2017",Simulation
Lucifer Within Us,,developer testimonies: contradictory,Detective
Cultist Simulator,79%,"May 31, 2018",Lovecraftian
Age of Wonders: Planetfall,79%,"Aug 6, 2019",Strategy
Pipe Push Paradise,100%,"Jan 18, 2018",Indie
Superflight,96%,"Nov 8, 2017",Indie
Genesis Noir,,"Before, During, and After the Big Bang",Adventure
11-11 Memories Retold,93%,"Nov 8, 2018",Adventure
Baba Is You,98%,"Mar 13, 2019",Puzzle
We. The Revolution,78%,"Mar 21, 2019",Strategy
7th Sector,80%,"Mar 5, 2019",Adventure
After the Fall,,2020,Action
A Plague Tale: Innocence,95%,"May 14, 2019",Story Rich
Mutant Year Zero: Road to Eden,89%,"Dec 4, 2018",Strategy
Wave Break,,"2020, TBA™!!!",Action
Telling Lies,70%,"Aug 23, 2019",Indie
Draugen,79%,"May 29, 2019",Adventure
Blasphemous,86%,"Sep 10, 2019",Metroidvania
Project Winter,85%,"May 23, 2019",Survival
EarthNight,,"Dec 3, 2019",Indie
Total War: THREE KINGDOMS,82%,"May 23, 2019",Strategy
DOOM Eternal,,"Mar 20, 2020",Gore
RAWMEN,,TBD,Early Access
INSOMNIA: The Ark,63%,"Sep 27, 2018",RPG
Farming Simulator 19,86%,"Nov 19, 2018",Farming Sim
Tick Tock: A Tale for Two,91%,"Mar 7, 2019",Adventure
Neo Cab,88%,"Oct 3, 2019",Adventure
Per Aspera,,2020,Strategy
Destroy All Humans!,,2020,Action
Assassin's Creed® Odyssey,86%,"Oct 5, 2018",Open World
